"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","01-Apr-2022","730.30","725.00","738.30","723.10","736.00","736.25","732.49","12,658,848","9,272,488,843.50","227,312","6,540,160","51.66"
"ICICIBANK","EQ","04-Apr-2022","736.25","742.00","749.80","725.00","745.15","746.60","742.40","17,192,197","12,763,481,384.40","196,009","8,818,007","51.29"
"ICICIBANK","EQ","05-Apr-2022","746.60","746.80","755.45","738.00","739.25","741.80","747.59","12,290,391","9,188,125,354.45","215,134","6,739,260","54.83"
"ICICIBANK","EQ","06-Apr-2022","741.80","732.30","744.90","732.10","739.55","741.60","739.21","13,518,142","9,992,682,773.20","199,736","7,649,180","56.58"
"ICICIBANK","EQ","07-Apr-2022","741.60","737.10","757.80","737.10","748.90","748.55","749.80","15,087,175","11,312,289,247.20","277,671","8,736,241","57.91"
"ICICIBANK","EQ","08-Apr-2022","748.55","749.85","756.00","743.60","754.30","754.30","751.07","15,480,705","11,627,136,097.60","244,539","9,254,974","59.78"
"ICICIBANK","EQ","11-Apr-2022","754.30","752.30","765.45","751.65","760.50","759.60","760.61","13,216,391","10,052,525,613.20","214,119","7,748,582","58.63"
"ICICIBANK","EQ","12-Apr-2022","759.60","757.00","768.90","750.25","764.00","763.85","759.11","14,020,000","10,642,668,401.30","311,639","8,212,347","58.58"
"ICICIBANK","EQ","13-Apr-2022","763.85","769.60","772.55","760.70","761.55","762.25","766.95","16,119,956","12,363,241,052.60","246,413","10,867,093","67.41"
"ICICIBANK","EQ","18-Apr-2022","762.25","751.00","762.90","749.20","759.00","757.80","756.10","17,651,530","13,346,374,641.85","327,929","12,321,755","69.81"
"ICICIBANK","EQ","19-Apr-2022","757.80","761.80","777.90","757.00","759.85","766.30","769.60","31,088,359","23,925,507,986.90","279,125","23,005,104","74.00"
"ICICIBANK","EQ","20-Apr-2022","766.30","766.80","770.00","753.80","756.70","755.55","760.35","15,984,202","12,153,512,822.65","260,447","10,676,808","66.80"
"ICICIBANK","EQ","21-Apr-2022","755.55","759.05","764.20","751.20","763.65","762.35","759.27","8,953,098","6,797,795,739.10","149,668","4,299,122","48.02"
"ICICIBANK","EQ","22-Apr-2022","762.35","757.00","758.85","745.90","747.00","747.65","751.55","14,411,607","10,831,059,862.80","242,371","9,329,530","64.74"
